activity_id,datetime_local,date,name,sport,distance_km,duration_s,pace_str,pace_s_per_km,avg_hr,max_hr,avg_cadence_spm,avg_power,avg_gct_ms,avg_vert_osc_mm,avg_vert_ratio,avg_stride_m,vo2max,aerobic_te,anaerobic_te,training_load,rpe,body_battery_delta,calories,elev_gain_m,location,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s
20007996626,2025-08-10T05:39:13,2025-08-10,Mumbai Running,RUNNING,24.002,9497.0,06:36,395.7,169.0,182.0,166.0,219.0,272.1,8.6,9.45,0.913,41.0,5.0,0.30000001192092896,386.9,90.0,-23.0,5857.647959999999,6800.0,Mumbai,19001.0,98102.0,1187569.0,8169542.0,0.0
20062286507,2025-08-15T05:54:48,2025-08-15,Mumbai Running,RUNNING,21.117,8519.0,06:43,403.4,175.0,185.0,164.0,217.0,276.6,8.7,9.64,0.906,41.0,5.0,0.20000000298023224,394.4,80.0,-22.0,5384.1757,7000.0,Mumbai,29000.0,47774.0,393169.0,7928674.0,116994.0
20120442229,2025-08-20T17:54:06,2025-08-20,Mumbai Running,RUNNING,12.015,5174.0,07:11,430.6,174.0,186.0,158.0,209.0,281.0,8.5,9.76,0.872,41.0,4.300000190734863,0.699999988079071,232.9,70.0,-13.0,3134.13496,2500.0,Mumbai,0.0,43201.0,674004.0,4282447.0,173994.0
20146831379,2025-08-23T06:07:29,2025-08-23,Mumbai Running,RUNNING,15.012,6189.0,06:52,412.3,175.0,186.0,164.0,216.0,277.3,8.6,9.74,0.882,41.0,4.900000095367432,0.0,284.1,80.0,-26.0,3875.7684999999997,2400.0,Mumbai,26974.0,77943.0,368990.0,5209619.0,485103.0
20157355571,2025-08-24T05:12:15,2025-08-24,Mumbai Running,RUNNING,28.007,11357.0,06:45,405.5,171.0,186.0,166.0,220.0,276.0,8.6,9.67,0.889,41.0,5.0,0.0,447.8,90.0,-25.0,6930.2930799999995,11100.0,Mumbai,20000.0,125457.0,415523.0,10590711.0,193006.0
20195059046,2025-08-27T17:58:08,2025-08-27,Mumbai Running,RUNNING,12.012,4919.0,06:50,409.5,174.0,185.0,162.0,218.0,277.4,8.7,9.64,0.902,41.0,4.800000190734863,0.0,271.8,80.0,-13.0,3104.80482,2900.0,Mumbai,8626.0,57384.0,399000.0,4344194.0,109987.0
20230665064,2025-08-31T05:09:22,2025-08-31,Mumbai Running,RUNNING,21.005,8710.0,06:55,414.7,172.0,188.0,166.0,213.0,276.6,8.5,9.76,0.868,41.0,5.0,0.10000000149011612,363.2,80.0,-19.0,5304.56532,7000.0,Mumbai,10999.0,73432.0,590256.0,7816409.0,199998.0
20251693269,2025-09-02T06:10:06,2025-09-02,Mumbai Running,RUNNING,11.005,4488.0,06:48,407.8,169.0,181.0,160.0,214.0,272.4,8.5,9.45,0.906,41.0,4.400000095367432,0.0,225.7,80.0,-16.0,2811.5034199999996,1300.0,Mumbai,13003.0,72606.0,948978.0,3445104.0,0.0
20337529933,2025-09-10T06:18:52,2025-09-10,Mumbai Running,RUNNING,10.002,3816.0,06:22,381.5,180.0,190.0,166.0,226.0,268.2,8.7,9.28,0.939,42.0,4.800000190734863,0.800000011920929,270.4,90.0,-16.0,2576.8623,1200.0,Mumbai,11001.0,73143.0,228998.0,993996.0,2498003.0
20378483764,2025-09-14T06:18:53,2025-09-14,Mumbai Running,RUNNING,21.005,9074.0,07:12,432.0,177.0,193.0,162.0,201.0,278.4,8.3,9.82,0.849,41.0,5.0,0.0,390.5,90.0,-21.0,5518.25634,8100.0,Mumbai,15999.0,51410.0,524007.0,5796871.0,2672190.0
