date,sleep_total_min,sleep_deep_min,sleep_light_min,sleep_rem_min,sleep_awake_min,sleep_score,sleep_quality_score,sleep_recovery_score,resp_avg,sleep_stress_avg,restless_moments,hrv_overnight_ms,hrv_status,hrv_weekly_avg,overnight_hr,rhr,spo2_status,vo2max_running,vo2max_fitnessage,bio_age,bmi,acute_load,chronic_load,acwr,acwr_status,training_status,fitness_trend,readiness_score,readiness_level,recovery_time_hr,pred_5k_s,pred_10k_s,pred_half_s,pred_marathon_s
2025-11-22,,,,,,,,,,,,,,38.0,,64.0,,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,90.0,HIGH,1.0,1600.0,3387.0,7394.0,17643.0
2025-11-23,,,,,,,,,,,,,,37.0,,64.0,,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,94.0,HIGH,1.0,1605.0,3388.0,7401.0,17716.0
2025-11-24,50.0,12.0,38.0,0.0,113.0,14.0,27.0,0.0,16.59,71.9,3.0,20.0,BELOW,32.0,90.0,64.0,UNKNOWN,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,33.0,LOW,664.0,1606.0,3389.0,7408.0,17767.0
2025-11-25,520.0,51.0,358.0,111.0,24.0,60.0,59.0,30.0,16.82,37.7,61.0,28.0,IN_RANGE,31.0,74.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,42.0,LOW,1.0,1612.0,3390.0,7417.0,17872.0
2025-11-26,152.0,50.0,102.0,0.0,0.0,23.0,56.0,18.0,16.75,42.4,17.0,31.0,IN_RANGE,28.0,75.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,5.0,POOR,534.0,1613.0,3391.0,7424.0,17915.0
2025-11-27,472.0,64.0,298.0,110.0,0.0,89.0,87.0,80.0,16.81,15.1,45.0,35.0,IN_RANGE,28.0,69.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,67.0,MODERATE,1.0,1613.0,3393.0,7431.0,17934.0
2025-11-28,480.0,84.0,278.0,118.0,0.0,91.0,89.0,76.0,14.65,16.9,39.0,38.0,IN_RANGE,30.0,66.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,76.0,HIGH,0.0,1615.0,3394.0,7438.0,17954.0
2025-11-29,496.0,70.0,343.0,83.0,11.0,80.0,75.0,64.0,16.0,22.9,42.0,28.0,IN_RANGE,29.0,70.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,84.0,HIGH,1.0,1616.0,3396.0,7445.0,17973.0
2025-11-30,191.0,52.0,139.0,0.0,10.0,33.0,59.0,40.0,14.79,33.4,19.0,26.0,IN_RANGE,29.0,73.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,45.0,LOW,0.0,1618.0,3398.0,7453.0,17994.0
2025-12-01,309.0,44.0,207.0,58.0,12.0,63.0,77.0,67.0,15.13,21.4,23.0,32.0,IN_RANGE,31.0,73.0,64.0,IN_RANGE,,49.0,21.4,20.7,,,,,DETRAINING,NO_RESULT,42.0,LOW,1.0,1619.0,3400.0,7461.0,18012.0
2025-12-02,455.0,91.0,300.0,64.0,11.0,82.0,80.0,68.0,14.5,20.8,39.0,33.0,IN_RANGE,32.0,71.0,64.0,IN_RANGE,41.0,49.0,21.4,20.7,154.0,100.0,1.5,HIGH,PRODUCTIVE,NO_RESULT,1.0,POOR,4355.0,1658.0,3414.0,7502.0,18329.0
2025-12-03,422.0,59.0,282.0,81.0,7.0,77.0,80.0,67.0,15.03,21.7,32.0,32.0,IN_RANGE,32.0,71.0,64.0,IN_RANGE,,49.0,21.4,20.7,139.0,100.0,1.3,OPTIMAL,PRODUCTIVE,NO_RESULT,26.0,LOW,2301.0,1664.0,3418.0,7515.0,18374.0
